ISEQ_ID,Date_ISEQ,Price_ISEQ,Open_ISEQ,High_ISEQ,Low_ISEQ,Vol_Mil_ISEQ,ChangePercent_ISEQ
1,2019-08-30,5879.42,5846.54,5910.03,5846.54,26.37,0.55
2,2019-08-29,5847.1,5754.21,5857.72,5748.84,24.3,1.55
3,2019-08-28,5757.58,5831.34,5831.34,5735.47,30.6,-1.26
4,2019-08-27,5831.34,5744.73,5831.34,5709.75,32.58,1.53
5,2019-08-26,5743.34,5750.06,5786.97,5716.39,8.93,-0.11
6,2019-08-23,5749.46,5770.87,5851.11,5739.23,36.17,-0.33
7,2019-08-22,5768.33,5796.27,5804.41,5753.65,32.16,-0.46
8,2019-08-21,5795.22,5694.49,5798.71,5694.49,46.49,1.79
9,2019-08-20,5693.38,5814.46,5818.15,5693.38,27.74,-2.07
10,2019-08-19,5813.52,5773.45,5844.87,5773.45,28.31,0.7
11,2019-08-16,5773.27,5697.77,5782.06,5697.77,42.55,1.33
12,2019-08-15,5697.77,5750.16,5792.34,5659.28,39.49,-0.88
13,2019-08-14,5748.13,5851.28,5863,5736.22,120.55,-1.76
14,2019-08-13,5851.08,5843.19,5902.03,5772.87,33.05,0.15
15,2019-08-12,5842.32,5872.42,5921.18,5829.55,17.47,-0.34
16,2019-08-09,5862.29,5944.01,5944.01,5860.29,29.41,-1.37
17,2019-08-08,5943.65,5843.15,5943.84,5843.15,19.59,2.19
18,2019-08-07,5816.16,5784.25,5843.5,5779.45,29.79,0.6
19,2019-08-06,5781.64,5809.55,5840.34,5781.64,27.69,-0.48
20,2019-08-05,5809.55,5974.52,5974.52,5809.55,19.83,-2.82
21,2019-08-02,5978.15,6076.92,6076.92,5960.95,40.33,-1.6
22,2019-08-01,6075.25,6112.2,6125.99,6044.66,75.53,-0.59
23,2019-07-31,6111.13,6130.35,6154.61,6102.04,76.79,-0.29
24,2019-07-30,6129.11,6269.91,6269.91,6117.17,31.96,-2.21
25,2019-07-29,6267.59,6314.63,6321.17,6267.38,32.42,-0.9
26,2019-07-26,6324.29,6356.12,6356.12,6306.44,19.27,-0.5
27,2019-07-25,6356.07,6332.58,6379.04,6307.19,24.46,0.36
28,2019-07-24,6333.29,6322.12,6338.04,6301.77,42.11,0.16
29,2019-07-23,6322.9,6296.65,6330.08,6288.14,25.61,0.61
30,2019-07-22,6284.85,6262.39,6332.57,6258.52,12.41,0.28
31,2019-07-19,6267.36,6276.96,6304.52,6253.41,34.6,-0.15
32,2019-07-18,6277.07,6309.12,6309.12,6255.72,26.54,-0.58
33,2019-07-17,6313.43,6380.58,6385.13,6307.06,16.97,-1.05
34,2019-07-16,6380.36,6322.71,6380.36,6307.76,23.27,0.92
35,2019-07-15,6322.06,6295.82,6346.86,6291.78,15.21,0.43
36,2019-07-12,6295.11,6276.81,6315.38,6276.81,27.54,0.3
37,2019-07-11,6276.12,6240.06,6284.49,6235.44,65.7,0.66
38,2019-07-10,6235.05,6266.72,6284.18,6234.84,25.17,-0.5
39,2019-07-09,6266.24,6314.25,6317.92,6237.78,19.97,-0.79
40,2019-07-08,6315.83,6337.46,6339.89,6265.84,13.15,-0.36
41,2019-07-05,6338.46,6415.39,6419.47,6335.69,18.47,-1.2
42,2019-07-04,6415.6,6361.59,6415.6,6345.77,20.12,1.08
43,2019-07-03,6347.28,6232.95,6359.82,6215.88,28.55,1.85
44,2019-07-02,6232.27,6248.56,6262.38,6195.49,19.32,0.03
45,2019-07-01,6230.26,6155.24,6253.65,6155.24,24.9,1.26
46,2019-06-28,6152.63,6107.76,6152.63,6097.28,23.45,0.74
47,2019-06-27,6107.37,6131.05,6171.24,6091.46,21.84,-0.34
48,2019-06-26,6128.16,6108.53,6131.69,6087.92,35.26,0.33
49,2019-06-25,6107.98,6068.66,6110.77,6041.94,31.98,0.65
50,2019-06-24,6068.66,6131.75,6138.74,6065.5,26.56,-1.05
51,2019-06-21,6133.2,6200.92,6230.49,6124.7,42.79,-1.12
52,2019-06-20,6202.7,6165.66,6228.73,6165.66,21,0.62
53,2019-06-19,6164.59,6166.72,6184.43,6134.27,27.64,0.04
54,2019-06-18,6162.41,6120.59,6169.31,6080.03,21.77,0.68
55,2019-06-17,6120.59,6152.35,6169.66,6101.23,18.53,-0.55
56,2019-06-14,6154.53,6188.46,6191.15,6127.45,22.71,-0.62
57,2019-06-13,6192.63,6131.43,6208.31,6122.32,16.82,1
58,2019-06-12,6131.58,6210.61,6210.61,6122.81,22.02,-1.46
59,2019-06-11,6222.45,6199.83,6252.22,6193.22,18.93,0.34
60,2019-06-10,6201.08,6192.11,6213.42,6172.54,10.31,0.37
61,2019-06-07,6178.39,6129.35,6192.29,6129.35,17.42,0.84
62,2019-06-06,6127.19,6180.6,6209.28,6121.18,20.22,-0.85
63,2019-06-05,6179.93,6158.95,6207.42,6133.8,19.21,0.36
64,2019-06-04,6157.51,6082.24,6167.93,6068.64,18.73,1.22
65,2019-06-03,6083.04,6078.59,6100.98,6039.32,13.82,0.06
66,2019-05-31,6079.63,6122.36,6122.36,6042.26,26.11,-0.81
67,2019-05-30,6129.32,6052.78,6130.55,6049.59,18.41,1.27
68,2019-05-29,6052.44,6150.05,6150.05,6040.47,19.48,-1.63
69,2019-05-28,6152.63,6114.53,6152.63,6105.26,52.15,0.62
70,2019-05-27,6114.78,6126.84,6185.36,6107.17,7.75,-0.15
71,2019-05-24,6123.83,6155,6189.38,6123.83,29.25,-0.47
72,2019-05-23,6152.51,6234.96,6234.96,6113.26,39.89,-1.37
73,2019-05-22,6237.79,6231.93,6260,6211,21.43,0.09
74,2019-05-21,6231.93,6222.95,6244.53,6211.95,36.46,0.14
75,2019-05-20,6223.38,6282.97,6282.97,6203.93,18.82,-0.91
76,2019-05-17,6280.53,6309.83,6309.83,6235.61,32.27,-0.46
77,2019-05-16,6309.78,6242.99,6313.16,6198.13,55.27,1.09
78,2019-05-15,6241.63,6231.93,6272.08,6187.74,13.48,0.18
79,2019-05-14,6230.72,6151.22,6234.16,6151.22,19.8,1.29
80,2019-05-13,6151.57,6248.33,6255.74,6151.57,16.86,-1.46
81,2019-05-10,6242.88,6251.37,6328.6,6237.12,23.37,-0.02
82,2019-05-09,6243.82,6365.65,6365.65,6224.3,44.71,-1.87
83,2019-05-08,6362.91,6390.47,6395.92,6316.91,44.56,-0.43
84,2019-05-07,6390.47,6467.04,6484.84,6373.61,34.6,-1.11
85,2019-05-06,6462.12,6494.3,6494.3,6389.94,37.36,-0.56
86,2019-05-03,6498.74,6501.94,6518.76,6471.36,34.15,-0.1
87,2019-05-02,6505.11,6455.04,6523.47,6450.93,71.65,0.77
88,2019-04-30,6455.24,6444.08,6475.06,6426.39,43.44,0.02
89,2019-04-29,6453.89,6401.61,6464.32,6401.61,22.8,0.85
90,2019-04-26,6399.74,6391.23,6423.28,6370.38,15.49,0.11
91,2019-04-25,6392.53,6448.57,6476.98,6372.94,18.65,-0.87
92,2019-04-24,6448.65,6488.08,6508.96,6448.41,21.27,-0.7
93,2019-04-23,6493.81,6540.14,6540.14,6463.44,25.96,-0.71
94,2019-04-18,6540.14,6487.41,6551.95,6458.64,44.32,0.8
95,2019-04-17,6488.07,6435.71,6491.23,6406.63,25.16,0.84
96,2019-04-16,6433.97,6391.35,6448.69,6365.24,49.37,0.61
97,2019-04-15,6395.18,6341.64,6395.18,6340.97,23.8,0.94
98,2019-04-12,6335.71,6280.36,6348.95,6263.88,24.08,0.88
99,2019-04-11,6280.7,6241.86,6307.33,6233.57,25.81,0.62
100,2019-04-10,6241.86,6246.98,6261.24,6196.37,67.19,-0.1
101,2019-04-09,6247.91,6299.47,6306.12,6237.77,17.24,-0.76
102,2019-04-08,6295.96,6386.77,6386.77,6295.76,12,-1.38
103,2019-04-05,6383.9,6313.14,6392.73,6310.27,20.65,1.09
104,2019-04-04,6314.96,6313.12,6320.98,6283.32,19.45,0.03
105,2019-04-03,6313.12,6228.96,6320.98,6228.96,23.81,1.78
106,2019-04-02,6202.71,6199.16,6214.84,6179.61,20.09,0.06
107,2019-04-01,6199.16,6138.45,6206.25,6138.45,19.6,0.99
108,2019-03-29,6138.66,6047.57,6149.5,6041.76,23.5,1.48
109,2019-03-28,6048.85,6054.56,6108.48,6047.9,14.59,-0.03
110,2019-03-27,6050.42,6037.99,6081.11,6016.6,21.98,0.21
111,2019-03-26,6037.99,6020.77,6044.13,5957.26,19.04,0.24
112,2019-03-25,6023.73,6041.32,6042.41,5979.14,19.78,-0.19
113,2019-03-22,6035.4,6125.68,6166.08,6021.62,20.35,-1.48
114,2019-03-21,6125.99,6203.94,6203.94,6113.55,22.51,-1.27
115,2019-03-20,6204.66,6239.53,6251.08,6182.4,20.75,-0.56
116,2019-03-19,6239.64,6253.25,6299.38,6228.69,19.06,-0.21
117,2019-03-18,6252.69,6252.79,6271.78,6222.78,15.15,0.01
118,2019-03-15,6252.36,6177.52,6258.25,6135.19,34.13,1.22
119,2019-03-14,6177.27,6173.04,6220,6121.78,21.38,0.08
120,2019-03-13,6172.48,6118.27,6181.48,6116.96,18.3,0.62
121,2019-03-12,6134.37,6123.74,6209.12,6123.74,26.95,0.25
122,2019-03-11,6118.96,6082.54,6118.96,6066.13,14.58,0.6
123,2019-03-08,6082.54,6103.28,6103.28,6048.74,25.93,-0.34
124,2019-03-07,6103.23,6206.38,6221.27,6095.74,26.08,-1.66
125,2019-03-06,6206.02,6241.67,6258.65,6206.02,34.83,-0.57
126,2019-03-05,6241.67,6220.38,6258.97,6198.21,35.62,0.35
127,2019-03-04,6220.19,6195.83,6245.52,6195.83,17.92,0.4
128,2019-03-01,6195.62,6115.71,6200.09,6115.71,38.07,1.31
129,2019-02-28,6115.6,6068.21,6117.3,6030.7,41.16,0.75
130,2019-02-27,6070.18,6056.08,6070.18,6015.52,41.83,0.11
131,2019-02-26,6063.23,6019.71,6072.45,5981.19,28.81,0.7
132,2019-02-25,6021.15,6034.42,6035.22,5988.94,13.58,-0.22
133,2019-02-22,6034.42,6042.69,6077.55,6024.14,15.69,-0.19
134,2019-02-21,6046.17,6052.52,6069.04,6030.28,30.12,-0.2
135,2019-02-20,6058.4,5979.09,6070.28,5976.97,18.61,1.31
136,2019-02-19,5980.25,5975.35,6045.37,5975.35,29.83,0.06
137,2019-02-18,5976.91,5969.27,5993.25,5959.7,17.84,0.13
138,2019-02-15,5969.27,5952.81,5979.3,5928.37,18.53,0.33
139,2019-02-14,5949.75,5995.39,6043.1,5943.2,18.99,-0.76
140,2019-02-13,5995.03,5919.75,6015.08,5918.06,20.59,1.27
141,2019-02-12,5919.75,5909.39,5947.24,5906.29,18.84,0.27
142,2019-02-11,5903.85,5833.84,5912.26,5833.84,12.18,1.22
143,2019-02-08,5832.59,5842.67,5874.65,5826.23,13.8,-0.17
144,2019-02-07,5842.44,5969.85,5969.85,5842.44,21.99,-2.14
145,2019-02-06,5970.05,5935.39,6019.82,5930.85,19.56,0.58
146,2019-02-05,5935.39,5831.31,5935.39,5825.85,41.49,1.79
147,2019-02-04,5831.05,5838.1,5844.31,5809.85,16.33,-0.12
148,2019-02-01,5838.1,5767.68,5848.49,5767.68,34.88,1.22
149,2019-01-31,5767.68,5859.69,5882.14,5751.37,22.74,-1.57
150,2019-01-30,5859.79,5848.88,5859.79,5821.8,22.35,0.19
151,2019-01-29,5848.88,5843.79,5879.31,5819.41,19.86,0.09
152,2019-01-28,5843.79,5849.56,5861.31,5810.53,15.77,-0.1
153,2019-01-25,5849.56,5775,5871.95,5775,26.02,1.29
154,2019-01-24,5775,5828.38,5862.11,5768.61,36.47,-0.92
155,2019-01-23,5828.38,5817.12,5905.39,5801.53,30.59,0.19
156,2019-01-22,5817.12,5792.13,5817.12,5764.54,19.15,0.43
157,2019-01-21,5792.13,5799.61,5819.25,5773.28,12.84,-0.13
158,2019-01-18,5799.61,5705.3,5801.86,5695.88,38.42,1.65
159,2019-01-17,5705.3,5699.04,5714.43,5661.66,58.55,0.11
160,2019-01-16,5699.04,5640.4,5705.16,5640.4,25.83,1.04
161,2019-01-15,5640.4,5670.85,5707.55,5611.72,21.38,-0.54
162,2019-01-14,5670.85,5699.45,5699.45,5654.63,18.48,-0.5
163,2019-01-11,5699.45,5743.29,5745.29,5690.84,22.54,-0.76
164,2019-01-10,5743.29,5734.83,5743.29,5687.03,18.23,0.15
165,2019-01-09,5734.83,5680.57,5751.1,5680.57,26.81,0.96
166,2019-01-08,5680.57,5651.16,5717.47,5632.56,19.31,0.52
167,2019-01-07,5651.16,5656.45,5692.16,5607.97,20.39,-0.09
168,2019-01-04,5656.45,5481.16,5670.92,5481.16,18.08,3.2
169,2019-01-03,5481.16,5489.63,5523.99,5456.22,17.67,-0.17
170,2019-01-02,5490.37,5479.81,5510.81,5390.58,15.2,0.19
171,2018-12-31,5479.81,5459.2,5479.81,5444.61,6.63,0.38
172,2018-12-28,5459.2,5325.99,5464.82,5325.99,16.87,2.5
173,2018-12-27,5325.99,5398.23,5449.64,5311.73,10.37,-1.34
174,2018-12-24,5398.23,5391.42,5422.33,5387.52,2.44,0.13
175,2018-12-21,5391.42,5376.61,5412.6,5342.6,30.6,0.28
176,2018-12-20,5376.61,5443.79,5443.79,5344.58,44.12,-1.23
177,2018-12-19,5443.79,5422.76,5457.05,5417.07,27.2,0.39
178,2018-12-18,5422.76,5470.72,5497.71,5422.76,21.29,-0.88
179,2018-12-17,5470.72,5519.26,5519.26,5451.43,23.37,-0.88
180,2018-12-14,5519.26,5536.33,5536.33,5425.82,14.83,-0.31
181,2018-12-13,5536.33,5523.38,5590.96,5515.41,39.12,0.23
182,2018-12-12,5523.38,5491.94,5547.61,5454,29.29,0.57
183,2018-12-11,5491.94,5409.17,5510.65,5409.17,25.13,1.53
184,2018-12-10,5409.17,5548.81,5548.81,5403.23,16.79,-2.52
185,2018-12-07,5548.81,5492.95,5615.59,5492.95,17.49,1.02
186,2018-12-06,5492.95,5669.09,5669.09,5491.94,25.05,-3.11
187,2018-12-05,5669.09,5701.71,5726.38,5641.29,22.2,-0.57
188,2018-12-04,5701.71,5847.62,5862.48,5701.71,23.69,-2.5
189,2018-12-03,5847.62,5818.65,5914.39,5818.65,20.91,0.5
190,2018-11-30,5818.65,5850.55,5861.74,5801.16,56.74,-0.55
191,2018-11-29,5850.55,5834.47,5903.78,5834.17,26.89,0.25
192,2018-11-28,5836.07,5872.79,5913.32,5822.75,26.41,-0.63
193,2018-11-27,5872.79,5926.42,5928.07,5835.83,22.26,-0.9
194,2018-11-26,5926.42,5928.21,5989.36,5914.57,18.45,-0.03
195,2018-11-23,5928.21,5858.01,5928.21,5858.01,11.6,1.2
196,2018-11-22,5858.01,5892.34,5892.34,5826.7,17.2,-0.58
197,2018-11-21,5892.34,5817.3,5900.65,5816.95,33.81,1.29
198,2018-11-20,5817.3,5900.09,5908.28,5772.58,32.55,-1.4
199,2018-11-19,5900.09,5983.45,6000.6,5898.59,21.09,-1.39
200,2018-11-16,5983.45,5957.17,6045.31,5931.59,34.27,0.44
201,2018-11-15,5957.17,6194.33,6201.17,5955.95,24.77,-3.83
202,2018-11-14,6194.44,6138.05,6239.02,6083.8,18.91,0.92
203,2018-11-13,6138.05,6126.62,6185.79,6090.16,15.16,0.19
204,2018-11-12,6126.62,6172.13,6218.15,6120.12,20.76,-0.74
205,2018-11-09,6172.13,6202.6,6202.6,6142.24,18,-0.49
206,2018-11-08,6202.6,6254.77,6316.61,6202.33,38.07,-0.83
207,2018-11-07,6254.77,6136.33,6263.03,6132.09,16.65,1.93
208,2018-11-06,6136.33,6191.37,6210.08,6120.64,27.45,-0.89
209,2018-11-05,6191.37,6224.07,6239.11,6191.37,18.17,-0.53
210,2018-11-02,6224.07,6156.39,6272.43,6156.39,23.62,1.1
211,2018-11-01,6156.39,6146.07,6213.29,6118.96,23.81,0.14
212,2018-10-31,6147.61,6103.03,6217.67,6103.03,25.89,0.73
213,2018-10-30,6103.03,6050.01,6107.12,5999.81,14.96,0.88
214,2018-10-29,6050.01,5978.12,6086.2,5967.49,9.2,1.2
